id,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,gross,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
1,129,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,3,18,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,7,17,0,0
2,92,70,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2017,7,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,0,0
3,98,81,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,10,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,13,53,3,0
4,106,85,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,4,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,10,7,32,2,0
5,122,52,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,11,17,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,15,51,4,0
6,105,70,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,3,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,9,18,1,0
7,127,77,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,8,18,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,8,36,3,0
8,89,65,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1986,4,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,27,0,0
9,112,72,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,4,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,28,1,0
11,97,70,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,5,18,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,8,39,3,1
