yearPublished,monthPublished,count
1913,11,1
1914,2,1
1915,2,1
1915,4,1
1915,6,1
1915,11,1
1916,12,2
1917,5,1
1917,10,1
1918,1,1
1918,12,1
1920,9,1
1921,2,1
1922,1,3
1922,3,1
1922,5,2
1922,9,1
1922,10,1
1922,12,1
1923,4,1
1923,9,2
1923,11,1
1924,2,1
1924,3,1
1924,4,1
1924,5,1
1924,6,1
1924,9,2
1925,8,1
1925,9,1
1925,10,1
1925,11,1
1925,12,1
1926,1,1
1926,2,1
1926,10,1
1926,12,1
1927,3,1
1927,10,2
1928,1,1
1928,7,1
1928,8,1
1928,9,1
1928,11,1
1929,4,1
1929,6,1
1929,8,1
1929,10,1
1930,2,2
1930,3,1
1930,7,1
1930,8,2
1930,9,1
1930,12,1
1931,3,1
1931,8,1
1931,10,1
1931,11,1
1931,12,1
1932,2,1
1932,9,2
1933,2,1
1933,3,2
1933,4,2
1933,10,1
1933,12,2
1934,2,1
1934,4,1
1934,5,1
1934,11,1
1935,4,1
1935,8,1
1935,9,2
1935,11,2
1936,2,1
1936,8,1
1936,11,1
1936,12,1
1937,1,1
1937,4,1
1937,6,1
1937,7,1
1937,8,1
1937,9,1
1937,10,1
1938,2,2
1938,5,1
1938,9,1
1939,3,1
1939,9,1
1939,10,2
1939,11,2
1940,1,1
1940,2,2
1940,7,1
1940,8,2
1941,1,1
1941,3,1
1941,6,1
1941,7,1
1941,9,2
1941,10,2
1941,11,1
1942,1,1
1942,3,1
1942,6,1
1942,7,2
1942,8,1
1942,12,4
1943,1,2
1943,3,1
1943,6,1
1943,8,3
1943,10,1
1943,11,1
1944,4,2
1944,6,1
1944,7,1
1944,10,1
1945,5,1
1945,9,1
1945,12,1
1946,2,2
1946,4,2
1946,5,1
1946,6,1
1946,9,1
1946,10,1
1947,1,4
1947,3,1
1947,7,1
1947,8,2
1947,9,1
1947,10,1
1947,11,1
1947,12,4
1948,1,1
1948,3,2
1948,6,1
1948,7,1
1948,9,2
1948,10,1
1948,11,1
1949,4,1
1949,5,1
1949,7,1
1949,12,2
1950,1,1
1950,3,1
1950,5,3
1950,7,2
1950,9,1
1950,10,1
1951,2,1
1951,5,1
1951,6,1
1951,7,1
1951,10,1
1951,11,1
1951,12,2
1952,3,1
1952,4,2
1952,6,2
1952,7,2
1952,9,1
1952,10,1
1952,12,4
1953,2,1
1953,4,1
1953,6,2
1953,7,2
1953,8,2
1953,10,3
1953,12,3
1954,1,2
1954,2,2
1954,3,2
1954,4,3
1954,5,4
1954,6,3
1954,7,1
1954,8,2
1954,9,3
1954,10,4
1954,12,1
1955,1,2
1955,2,1
1955,6,2
1955,7,1
1955,8,1
1955,9,1
1955,11,2
1955,12,2
1956,1,1
1956,3,3
1956,5,2
1956,6,2
1956,7,1
1956,8,3
1956,10,1
1956,11,4
1957,2,1
1957,4,1
1957,5,1
1957,6,2
1957,7,1
1957,8,2
1957,10,2
